date,ticker,weight_change,price,tc_cost
2023-07-07,MRK,-0.0005,100.0956039428711,0.0
2023-07-07,PFE,-0.0005,29.967193603515625,0.0
2023-07-14,AMZN,0.007,134.67999267578125,1e-06
2023-07-14,NVDA,0.0074,45.4334831237793,1e-06
2023-07-14,TSLA,0.0073,281.3800048828125,1e-06
2023-07-14,BRK-B,0.0074,341.0899963378906,1e-06
2023-07-14,UNH,0.0073,454.5196228027344,1e-06
2023-07-14,MA,0.0074,396.056396484375,1e-06
2023-07-14,MRK,0.0073,98.57121276855469,1e-06
2023-07-14,PFE,0.0073,30.63351058959961,1e-06
2023-07-21,AMZN,-0.0016,130.0,0.0
2023-07-21,NVDA,-0.0017,44.27438735961914,0.0
2023-07-21,TSLA,-0.0016,260.0199890136719,0.0
2023-07-21,BRK-B,-0.0017,345.760009765625,0.0
2023-07-21,UNH,-0.0016,479.47149658203125,0.0
2023-07-21,MA,-0.0017,391.1168212890625,0.0
2023-07-21,MRK,-0.0016,101.37205505371094,0.0
2023-07-21,PFE,-0.0016,31.544422149658203,0.0
2023-07-28,AMZN,0.0143,132.2100067138672,2e-06
2023-07-28,NVDA,0.0149,46.71348190307617,2e-06
2023-07-28,TSLA,0.0148,266.44000244140625,2e-06
2023-07-28,BRK-B,0.0149,349.80999755859375,2e-06
2023-07-28,UNH,0.0148,476.0448913574219,2e-06
2023-07-28,MA,0.0149,386.659423828125,2e-06
2023-07-28,MRK,0.0148,97.65290069580078,2e-06
2023-07-28,PFE,0.0148,30.761606216430664,2e-06
2023-08-04,AMZN,0.0024,139.57000732421875,0.0
2023-08-04,NVDA,0.0025,44.64509963989258,0.0
2023-08-04,TSLA,0.0024,253.86000061035156,0.0
2023-08-04,BRK-B,0.0025,349.989990234375,0.0
2023-08-04,UNH,0.0024,475.8745422363281,0.0
2023-08-04,MA,0.0025,385.0752868652344,0.0
2023-08-04,MRK,0.0024,96.42237854003906,0.0
2023-08-04,PFE,0.0024,29.866127014160156,0.0
2023-08-11,AMZN,-0.0102,138.41000366210938,1e-06
2023-08-11,NVDA,-0.0107,40.82308578491211,1e-06
2023-08-11,TSLA,-0.0106,242.64999389648438,1e-06
2023-08-11,BRK-B,-0.0107,358.3500061035156,1e-06
2023-08-11,UNH,-0.0106,480.8724365234375,1e-06
2023-08-11,MA,-0.0107,388.6471252441406,1e-06
2023-08-11,MRK,-0.0106,98.66304779052734,1e-06
2023-08-11,PFE,-0.0106,30.73601722717285,1e-06
2023-08-18,AMZN,0.0025,133.22000122070312,0.0
2023-08-18,NVDA,0.0026,43.26518249511719,0.0
2023-08-18,TSLA,0.0026,215.49000549316406,0.0
2023-08-18,BRK-B,0.0026,352.55999755859375,0.0
2023-08-18,UNH,0.0026,471.8136901855469,0.0
2023-08-18,MA,0.0026,385.88214111328125,0.0
2023-08-18,MRK,0.0026,100.27925872802734,0.0
