date,nav,daily_ret,drawdown,max_dd,var_95,cvar_95,realised_vol,gross_exp,net_exp,halt
2021-10-29,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-01,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-02,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-03,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-04,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-05,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-08,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-09,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-10,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-11,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-12,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-15,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-16,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-17,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-18,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-19,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-22,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-23,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-24,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-26,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-29,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-11-30,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-01,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-02,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-03,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-06,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-07,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-08,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-09,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-10,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-13,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-14,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-15,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-16,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-17,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-20,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-21,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-22,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-23,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-27,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-28,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-29,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-30,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-12-31,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2022-01-03,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2022-01-04,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2022-01-05,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2022-01-06,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2022-01-07,999337.4674744646,0.0,-0.0006625325255354401,-0.0006625325255354401,-0.0,-0.0,0.0,0.0,0.0,False
2022-01-10,1003114.9018879464,0.0037799387458455802,0.0,-0.0006625325255354401,-0.0,-0.0,0.0,0.0,0.0,False
2022-01-11,1007008.5342538836,0.0038815417442298345,0.0,-0.0006625325255354401,-0.0,-0.0,0.013094091914605453,0.0,0.0,False
2022-01-12,1010369.7100368623,0.003337782817768312,0.0,-0.0006625325255354401,-0.0,-0.0,0.018293311640470232,0.0,0.0,False
2022-01-13,999939.1913089313,-0.01032346736478319,-0.01032346736478315,-0.01032346736478315,-0.0,-0.0,0.020920037067660928,0.0,0.0,False
2022-01-14,1002752.3249076357,0.002882450370429772,-0.007539205751673506,-0.01032346736478315,-0.0,0.0001720577894130532,0.04304412079538213,0.0,0.0,False
2022-01-18,993461.3338627288,-0.009265489407628856,-0.016734840728268287,-0.016734840728268287,-0.0,0.0001749740231319185,0.044160627699158066,0.0,0.0,False
2022-01-19,984836.8060056797,-0.008681291926597405,-0.025270852617158425,-0.025270852617158425,-0.0,0.00033201621648156014,0.0549537554546647,0.0,0.0,False
2022-01-20,980484.438865273,-0.004419379042157286,-0.029578550182882,-0.029578550182882,-0.0,0.0004791567576103297,0.062167818850859057,0.0,0.0,False
2022-01-21,965286.8374817094,-0.015414603338448287,-0.04462017428601265,-0.04462017428601265,0.003977441137941545,0.008172406935291684,0.06342635545221521,0.0,0.0,False
2022-01-24,961834.2667786976,-0.0035767303240342033,-0.0480373102796143,-0.0480373102796143,0.008255100638153382,0.010921213009364435,0.08078565885754362,0.0,0.0,False
2022-01-25,956444.159436392,-0.005603987639531441,-0.05337209742610243,-0.05337209742610243,0.008255100638153382,0.010921213009364435,0.08082668504814984,0.0,0.0,False
2022-01-26,960300.645882078,0.004032108312479448,-0.04955519119130916,-0.05337209742610243,0.008373561497890801,0.010921213009364435,0.08158196691056885,0.0,0.0,False
2022-01-27,954716.02480303,-0.005815492370015319,-0.055082495725056795,-0.055082495725056795,0.008373561497890801,0.010921213009364435,0.0840280902415612,0.0,0.0,False
2022-01-28,968239.8904788194,0.014213308003830532,-0.04169742930684833,-0.055082495725056795,0.00839471197093919,0.010921213009364435,0.08480450684336106,0.0,0.0,False
2022-01-31,980200.8889377122,0.01235334195224876,-0.02985918995735673,-0.055082495725056795,0.00839471197093919,0.010921213009364435,0.10191527599575234,0.0,0.0,False
2022-02-01,982005.9695844889,0.0018415415320963814,-0.02807263536368146,-0.055082495725056795,0.00839471197093919,0.010921213009364435,0.11259277445190602,0.0,0.0,False
2022-02-02,985563.3109538498,0.0036225251979537824,-0.02455180399470551,-0.055082495725056795,0.00839471197093919,0.010921213009364435,0.11295563508683142,0.0,0.0,False
2022-02-03,974382.1561425923,-0.01134493815565852,-0.035618203452434265,-0.055082495725056795,0.00839471197093919,0.010921213009364435,0.11397097918836997,0.0,0.0,False
2022-02-04,981847.1265705031,0.007732789471379466,-0.028229848126898584,-0.055082495725056795,0.00920706965952571,0.011587124566629714,0.11981140210645252,0.0,0.0,False
2022-02-07,981012.6625732976,-0.0008498919787239716,-0.029055747784138945,-0.055082495725056795,0.00920706965952571,0.011587124566629714,0.12369186021806547,0.0,0.0,False
2022-02-08,983308.6422852306,0.0023404180185710435,-0.02678333236122491,-0.055082495725056795,0.00920706965952571,0.011587124566629714,0.12365776498801037,0.0,0.0,False
2022-02-09,987998.1492520509,0.0047691098859071555,-0.022141955130459308,-0.055082495725056795,0.00920706965952571,0.011587124566629714,0.1241227357999659,0.0,0.0,False
2022-02-10,981030.758932105,-0.0070520277039186315,-0.02903783715337909,-0.055082495725056795,0.00920706965952571,0.011587124566629714,0.12462163745059056,0.0,0.0,False
2022-02-11,971965.0639583175,-0.009211770449642682,-0.03801048833613948,-0.055082495725056795,0.00920706965952571,0.011587124566629714,0.12533209915429505,0.0,0.0,False
2022-02-14,972459.8512375349,0.0005090587075242351,-0.03752077919867995,-0.055082495725056795,0.009260117511830238,0.011587124566629714,0.1271323415061425,0.0,0.0,False
2022-02-15,981871.9307101878,0.009678630393506924,-0.02820529855911339,-0.055082495725056795,0.009260117511830238,0.011587124566629714,0.12346518432458976,0.0,0.0,False
2022-02-16,982212.8931116987,0.0003472575097083499,-0.027867835551143295,-0.055082495725056795,0.009260117511830238,0.011587124566629714,0.12849617141353487,0.0,0.0,False
2022-02-17,971757.0264911366,-0.010645214183085382,-0.03821639065596781,-0.055082495725056795,0.009260117511830238,0.011587124566629714,0.12493195851434004,0.0,0.0,False
2022-02-18,967640.977827393,-0.00420574698541892,-0.042290195148378305,-0.055082495725056795,0.010217669569067755,0.011932055760493845,0.12672452961029718,0.0,0.0,False
2022-02-22,962885.0171107877,-0.004915005488175656,-0.04699734409530367,-0.055082495725056795,0.010217669569067755,0.011932055760493845,0.1266454308203156,0.0,0.0,False
2022-02-23,954290.548491416,-0.008925747588388183,-0.05550360525297247,-0.05550360525297247,0.010217669569067755,0.011932055760493845,0.11592300035261992,0.0,0.0,False
2022-02-24,959010.4470216825,0.004945976398621997,-0.05083214837597021,-0.05550360525297247,0.010217669569067755,0.011932055760493845,0.119382502676202,0.0,0.0,False
2022-02-25,967454.8107210014,0.008805288540436317,-0.04247445156911447,-0.05550360525297247,0.010217669569067755,0.011932055760493845,0.11911420521319477,0.0,0.0,False
2022-02-28,967454.8107210014,0.0,-0.04247445156911447,-0.05550360525297247,0.010217669569067755,0.011932055760493845,0.1221761069661907,0.0,0.0,False
2022-03-01,967454.8107210014,0.0,-0.04247445156911447,-0.05550360525297247,0.010217669569067755,0.011932055760493845,0.12009745747760578,0.0,0.0,False
2022-03-02,967454.8107210014,0.0,-0.04247445156911447,-0.05550360525297247,0.010217669569067755,0.011932055760493845,0.10952486236218459,0.0,0.0,False
2022-03-03,967454.8107210014,0.0,-0.04247445156911447,-0.05550360525297247,0.010217669569067755,0.011932055760493845,0.09989133404452576,0.0,0.0,False
2022-03-04,966985.23661054,0.0,-0.04293920630769849,-0.05550360525297247,0.010217669569067755,0.011932055760493845,0.09952769991040454,0.0,0.0,False
